branch_id,branch_ref,branch_state,tip_commit,reachable_commit_count
B01,refs/heads/docs/rebuild-documentation-audit,local,3ca9dbd7c510c2bddfdc5984b6eaa6d33cb44b7f,2580
B02,refs/heads/master,local,38b1e50014f97e47ddc670bed29c66e2fbb69852,2602
B03,refs/remotes/origin/agent/http-query-stage-1,origin-live,d20bdf3c3d9e8f60e4727efcb9dfd67d450e789b,7
B04,refs/remotes/origin/dependabot/composer/docs/dev/livewire-(Laravel)/livewirekit-dropdowns/demo/guzzlehttp/guzzle-7.4.5,stale-origin-tracking,556e21698fb0ee387c4363c4a654ed0b1416e82a,1188
B05,refs/remotes/origin/dependabot/composer/docs/dev/livewire-(Laravel)/livewirekit-dropdowns/demo/guzzlehttp/psr7-1.9.1,stale-origin-tracking,737d488add2bfa0ecd93ec22ab5dadfa060be8ea,1292
B06,refs/remotes/origin/dependabot/composer/docs/dev/livewire-(Laravel)/livewirekit-dropdowns/demo/laravel/framework-8.83.28,stale-origin-tracking,b5334aebfec7559e13455125a3a4c09c9679826e,2026
B07,refs/remotes/origin/dependabot/composer/docs/dev/livewire-(Laravel)/livewirekit-dropdowns/demo/livewire/livewire-2.12.7,stale-origin-tracking,3950fbdccb07da25f22936f105927a79836fc648,2026
B08,refs/remotes/origin/dependabot/composer/docs/dev/livewire-(Laravel)/livewirekit-dropdowns/demo/nesbot/carbon-2.72.6,stale-origin-tracking,5208afb35666a3d1742007d299f305e364c4a74f,2043
B09,refs/remotes/origin/dependabot/composer/docs/dev/livewire-(Laravel)/livewirekit-dropdowns/demo/swiftmailer/swiftmailer-6.3.0,stale-origin-tracking,836f24907b1854e002069d74d602ad256805252e,2045
B10,refs/remotes/origin/dependabot/composer/docs/dev/livewire-(Laravel)/livewirekit-dropdowns/demo/symfony/http-foundation-5.4.48,stale-origin-tracking,aabc9b2a74b3a12aadf280ad04c186ade5384e0d,2026
B11,refs/remotes/origin/dependabot/composer/docs/dev/livewire-(Laravel)/livewirekit-dropdowns/demo/symfony/http-kernel-5.4.20,stale-origin-tracking,ec986398dcfe1cc6c9653e3f00c442060d22211a,1266
B12,refs/remotes/origin/dependabot/composer/docs/dev/livewire-(Laravel)/livewirekit-dropdowns/demo/symfony/process-5.4.47,stale-origin-tracking,c383648650e738138a80943dcfefa39764984bd7,2026
B13,refs/remotes/origin/dependabot/composer/docs/extras/livewire-(Laravel)/livewirekit-dropdowns/demo/nesbot/carbon-2.73.0,stale-origin-tracking,03913bf89c932c0159f7427bbcdc053459c47760,2248
B14,refs/remotes/origin/dependabot/composer/docs/extras/livewire-(Laravel)/livewirekit-dropdowns/demo/symfony/http-foundation-5.4.50,stale-origin-tracking,d7fe3c747267c721262316edbde98d993660d856,2370
B15,refs/remotes/origin/dependabot/composer/docs/livewire-(Laravel)/livewirekit-dropdowns/demo/guzzlehttp/guzzle-7.4.5,stale-origin-tracking,b8d17a00f9331251e979c702f56d1325fca332eb,1128
B16,refs/remotes/origin/dependabot/composer/docs/livewire-(Laravel)/livewirekit-dropdowns/demo/guzzlehttp/psr7-1.9.0,stale-origin-tracking,eee0c3323ee116254f5a96b0cae56a54bc7fa20c,1183
B17,refs/remotes/origin/dependabot/composer/docs/livewire-(Laravel)/livewirekit-dropdowns/demo/symfony/http-kernel-5.4.12,stale-origin-tracking,e506d645f27002d3d6cd44b7a9135754a9c1d6d6,1072
B18,refs/remotes/origin/dependabot/composer/guzzlehttp/psr7-2.5.0,stale-origin-tracking,2d3b6a23150cb6828e9ea6e9811e13aec8dc28e4,1292
