branch_id,tip_commit,file,credential_like_fields,classification
B01,3ca9dbd7c510c2bddfdc5984b6eaa6d33cb44b7f,.env,DB_PASSWORD [nonempty_literal]; DB_PASSWORD_2 [nonempty_literal]; DB_PASSWORD_6 [nonempty_literal]; DB_PASSWORD_MPP [nonempty_literal]; DB_PASSWORD_RELMOTOR [nonempty_literal]; DB_PASSWORD_RELMOTOR_REMOTE [nonempty_literal]; DB_PASSWORD_WOO3 [nonempty_literal]; FIREBASE_API_KEY [provider_token_pattern]; FIREBASE_PRIVATE_KEY [private_key_block]; GEMINI_API_KEY [provider_token_pattern]; GMAPS_API_KEY [provider_token_pattern]; GOOGLE_CONSOLE_API_KEY [provider_token_pattern]; MAIL_PASSWORD [nonempty_literal]; MAIL_PASSWORD_5 [opaque_literal]; OPENFACTURA_API_KEY_DEV [opaque_literal]; OPENFACTURA_API_KEY_PROD [opaque_literal]; SENDGRID_API_KEY [provider_token_pattern]; SENDINBLUE_API_KEY [opaque_literal]; TYPESENSE_API_KEY [short_literal],private-key-literal
B01,3ca9dbd7c510c2bddfdc5984b6eaa6d33cb44b7f,.env.example,DB_PASSWORD [nonempty_literal],nonempty-secret-named-literal
B01,3ca9dbd7c510c2bddfdc5984b6eaa6d33cb44b7f,config/config.php,google_maps_api_key [provider_token_pattern],provider-token-format
B02,38b1e50014f97e47ddc670bed29c66e2fbb69852,.env.example,DB_PASSWORD [nonempty_literal],nonempty-secret-named-literal
B02,38b1e50014f97e47ddc670bed29c66e2fbb69852,config/config.php,google_maps_api_key [provider_token_pattern],provider-token-format
B03,d20bdf3c3d9e8f60e4727efcb9dfd67d450e789b,config/config.php,google_maps_api_key [provider_token_pattern],provider-token-format
B04,556e21698fb0ee387c4363c4a654ed0b1416e82a,.env,DB_PASSWORD [nonempty_literal]; DB_PASSWORD_2 [nonempty_literal]; DB_PASSWORD_6 [nonempty_literal]; DB_PASSWORD_FACTORY_PARTS [nonempty_literal]; DB_PASSWORD_MPP [nonempty_literal]; DB_PASSWORD_WOO3 [nonempty_literal]; MAIL_PASSWORD [nonempty_literal]; MAIL_PASSWORD_3 [nonempty_literal]; MAIL_PASSWORD_4 [nonempty_literal]; MAIL_PASSWORD_5 [opaque_literal]; REDIS_PASSWORD [short_literal]; SENDGRID_API_KEY [provider_token_pattern]; SENDINBLUE_API_KEY [opaque_literal],provider-token-format
B04,556e21698fb0ee387c4363c4a654ed0b1416e82a,.env.example,DB_PASSWORD [nonempty_literal]; DB_PASSWORD_2 [nonempty_literal]; DB_PASSWORD_3 [nonempty_literal]; DB_PASSWORD_4 [nonempty_literal]; DB_PASSWORD_5 [nonempty_literal]; DB_PASSWORD_6 [nonempty_literal]; DB_PASSWORD_DSI [nonempty_literal]; MAIL_PASSWORD [nonempty_literal]; REDIS_PASSWORD [short_literal],nonempty-secret-named-literal
B04,556e21698fb0ee387c4363c4a654ed0b1416e82a,config/config.php,google_maps_api_key [provider_token_pattern],provider-token-format
B04,556e21698fb0ee387c4363c4a654ed0b1416e82a,docs/dev/livewire (Laravel)/livewirekit-dropdowns/demo/.env.example,MAIL_PASSWORD [short_literal]; REDIS_PASSWORD [short_literal],nonempty-secret-named-literal
B05,737d488add2bfa0ecd93ec22ab5dadfa060be8ea,.env,DB_PASSWORD [nonempty_literal]; DB_PASSWORD_2 [nonempty_literal]; DB_PASSWORD_6 [nonempty_literal]; DB_PASSWORD_FACTORY_PARTS [nonempty_literal]; DB_PASSWORD_MPP [nonempty_literal]; DB_PASSWORD_WOO3 [nonempty_literal]; MAIL_PASSWORD [nonempty_literal]; MAIL_PASSWORD_3 [nonempty_literal]; MAIL_PASSWORD_4 [nonempty_literal]; MAIL_PASSWORD_5 [opaque_literal]; REDIS_PASSWORD [short_literal]; SENDGRID_API_KEY [provider_token_pattern]; SENDINBLUE_API_KEY [opaque_literal],provider-token-format
B05,737d488add2bfa0ecd93ec22ab5dadfa060be8ea,.env.example,DB_PASSWORD [nonempty_literal]; DB_PASSWORD_2 [nonempty_literal]; DB_PASSWORD_3 [nonempty_literal]; DB_PASSWORD_4 [nonempty_literal]; DB_PASSWORD_5 [nonempty_literal]; DB_PASSWORD_6 [nonempty_literal]; DB_PASSWORD_DSI [nonempty_literal]; MAIL_PASSWORD [nonempty_literal]; REDIS_PASSWORD [short_literal],nonempty-secret-named-literal
B05,737d488add2bfa0ecd93ec22ab5dadfa060be8ea,config/config.php,google_maps_api_key [provider_token_pattern],provider-token-format
B05,737d488add2bfa0ecd93ec22ab5dadfa060be8ea,docs/dev/livewire (Laravel)/livewirekit-dropdowns/demo/.env.example,MAIL_PASSWORD [short_literal]; REDIS_PASSWORD [short_literal],nonempty-secret-named-literal
B06,b5334aebfec7559e13455125a3a4c09c9679826e,.env,CLAUDE_API_KEY [provider_token_pattern]; DB_PASSWORD [nonempty_literal]; DB_PASSWORD_2 [nonempty_literal]; DB_PASSWORD_6 [nonempty_literal]; DB_PASSWORD_FACTORY_PARTS [nonempty_literal]; DB_PASSWORD_MPP [nonempty_literal]; DB_PASSWORD_WOO3 [nonempty_literal]; GMAPS_API_KEY [provider_token_pattern]; GOOGLE_CONSOLE_API_KEY [provider_token_pattern]; MAIL_PASSWORD [nonempty_literal]; MAIL_PASSWORD_3 [nonempty_literal]; MAIL_PASSWORD_4 [nonempty_literal]; MAIL_PASSWORD_5 [opaque_literal]; OPENAI_API_KEY [provider_token_pattern]; REDIS_PASSWORD [short_literal]; SENDGRID_API_KEY [provider_token_pattern]; SENDINBLUE_API_KEY [opaque_literal],provider-token-format
B06,b5334aebfec7559e13455125a3a4c09c9679826e,.env.example,DB_PASSWORD [nonempty_literal]; DB_PASSWORD_2 [nonempty_literal]; DB_PASSWORD_3 [nonempty_literal]; DB_PASSWORD_4 [nonempty_literal]; DB_PASSWORD_5 [nonempty_literal]; DB_PASSWORD_6 [nonempty_literal]; DB_PASSWORD_DSI [nonempty_literal]; MAIL_PASSWORD [nonempty_literal]; REDIS_PASSWORD [short_literal],nonempty-secret-named-literal
B06,b5334aebfec7559e13455125a3a4c09c9679826e,config/config.php,google_maps_api_key [provider_token_pattern],provider-token-format
B06,b5334aebfec7559e13455125a3a4c09c9679826e,docs/dev/livewire (Laravel)/livewirekit-dropdowns/demo/.env.example,MAIL_PASSWORD [short_literal]; REDIS_PASSWORD [short_literal],nonempty-secret-named-literal
B07,3950fbdccb07da25f22936f105927a79836fc648,.env,CLAUDE_API_KEY [provider_token_pattern]; DB_PASSWORD [nonempty_literal]; DB_PASSWORD_2 [nonempty_literal]; DB_PASSWORD_6 [nonempty_literal]; DB_PASSWORD_FACTORY_PARTS [nonempty_literal]; DB_PASSWORD_MPP [nonempty_literal]; DB_PASSWORD_WOO3 [nonempty_literal]; GMAPS_API_KEY [provider_token_pattern]; GOOGLE_CONSOLE_API_KEY [provider_token_pattern]; MAIL_PASSWORD [nonempty_literal]; MAIL_PASSWORD_3 [nonempty_literal]; MAIL_PASSWORD_4 [nonempty_literal]; MAIL_PASSWORD_5 [opaque_literal]; OPENAI_API_KEY [provider_token_pattern]; REDIS_PASSWORD [short_literal]; SENDGRID_API_KEY [provider_token_pattern]; SENDINBLUE_API_KEY [opaque_literal],provider-token-format
B07,3950fbdccb07da25f22936f105927a79836fc648,.env.example,DB_PASSWORD [nonempty_literal]; DB_PASSWORD_2 [nonempty_literal]; DB_PASSWORD_3 [nonempty_literal]; DB_PASSWORD_4 [nonempty_literal]; DB_PASSWORD_5 [nonempty_literal]; DB_PASSWORD_6 [nonempty_literal]; DB_PASSWORD_DSI [nonempty_literal]; MAIL_PASSWORD [nonempty_literal]; REDIS_PASSWORD [short_literal],nonempty-secret-named-literal
B07,3950fbdccb07da25f22936f105927a79836fc648,config/config.php,google_maps_api_key [provider_token_pattern],provider-token-format
B07,3950fbdccb07da25f22936f105927a79836fc648,docs/dev/livewire (Laravel)/livewirekit-dropdowns/demo/.env.example,MAIL_PASSWORD [short_literal]; REDIS_PASSWORD [short_literal],nonempty-secret-named-literal
B08,5208afb35666a3d1742007d299f305e364c4a74f,.env,CLAUDE_API_KEY [provider_token_pattern]; DB_PASSWORD [nonempty_literal]; DB_PASSWORD_2 [nonempty_literal]; DB_PASSWORD_6 [nonempty_literal]; DB_PASSWORD_MPP [nonempty_literal]; DB_PASSWORD_RELMOTOR [nonempty_literal]; DB_PASSWORD_RELMOTOR_REMOTE [nonempty_literal]; DB_PASSWORD_WOO3 [nonempty_literal]; GMAPS_API_KEY [provider_token_pattern]; GOOGLE_CONSOLE_API_KEY [provider_token_pattern]; MAIL_PASSWORD [nonempty_literal]; MAIL_PASSWORD_3 [nonempty_literal]; MAIL_PASSWORD_4 [nonempty_literal]; MAIL_PASSWORD_5 [opaque_literal]; OPENAI_API_KEY [provider_token_pattern]; REDIS_PASSWORD [short_literal]; SENDGRID_API_KEY [provider_token_pattern]; SENDINBLUE_API_KEY [opaque_literal],provider-token-format
B08,5208afb35666a3d1742007d299f305e364c4a74f,.env.example,DB_PASSWORD [nonempty_literal]; DB_PASSWORD_2 [nonempty_literal]; DB_PASSWORD_3 [nonempty_literal]; DB_PASSWORD_4 [nonempty_literal]; DB_PASSWORD_5 [nonempty_literal]; DB_PASSWORD_6 [nonempty_literal]; DB_PASSWORD_DSI [nonempty_literal]; MAIL_PASSWORD [nonempty_literal]; REDIS_PASSWORD [short_literal],nonempty-secret-named-literal
B08,5208afb35666a3d1742007d299f305e364c4a74f,config/config.php,google_maps_api_key [provider_token_pattern],provider-token-format
B08,5208afb35666a3d1742007d299f305e364c4a74f,docs/dev/livewire (Laravel)/livewirekit-dropdowns/demo/.env.example,MAIL_PASSWORD [short_literal]; REDIS_PASSWORD [short_literal],nonempty-secret-named-literal
B09,836f24907b1854e002069d74d602ad256805252e,.env,CLAUDE_API_KEY [provider_token_pattern]; DB_PASSWORD [nonempty_literal]; DB_PASSWORD_2 [nonempty_literal]; DB_PASSWORD_6 [nonempty_literal]; DB_PASSWORD_MPP [nonempty_literal]; DB_PASSWORD_RELMOTOR [nonempty_literal]; DB_PASSWORD_RELMOTOR_REMOTE [nonempty_literal]; DB_PASSWORD_WOO3 [nonempty_literal]; GMAPS_API_KEY [provider_token_pattern]; GOOGLE_CONSOLE_API_KEY [provider_token_pattern]; MAIL_PASSWORD [nonempty_literal]; MAIL_PASSWORD_3 [nonempty_literal]; MAIL_PASSWORD_4 [nonempty_literal]; MAIL_PASSWORD_5 [opaque_literal]; OPENAI_API_KEY [provider_token_pattern]; REDIS_PASSWORD [short_literal]; SENDGRID_API_KEY [provider_token_pattern]; SENDINBLUE_API_KEY [opaque_literal],provider-token-format
B09,836f24907b1854e002069d74d602ad256805252e,.env.example,DB_PASSWORD [nonempty_literal]; DB_PASSWORD_2 [nonempty_literal]; DB_PASSWORD_3 [nonempty_literal]; DB_PASSWORD_4 [nonempty_literal]; DB_PASSWORD_5 [nonempty_literal]; DB_PASSWORD_6 [nonempty_literal]; DB_PASSWORD_DSI [nonempty_literal]; MAIL_PASSWORD [nonempty_literal]; REDIS_PASSWORD [short_literal],nonempty-secret-named-literal
B09,836f24907b1854e002069d74d602ad256805252e,config/config.php,google_maps_api_key [provider_token_pattern],provider-token-format
B09,836f24907b1854e002069d74d602ad256805252e,docs/dev/livewire (Laravel)/livewirekit-dropdowns/demo/.env.example,MAIL_PASSWORD [short_literal]; REDIS_PASSWORD [short_literal],nonempty-secret-named-literal
